Gender,pet1,pet2
Women,Cat,Bird
Women,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Man,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Fish
Man,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Bird
Man,Dog,Bird
Women,Dog,Bird
Women,Dog,Bird
Women,Cat,Fish
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Fish
Man,Cat,Fish
Man,Cat,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Dog,Bird
Women,Dog,Fish
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Bird
Women,Cat,Fish
Man,Cat,Fish
Women,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Man,Dog,Bird
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Man,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Dog,Bird
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Dog,Bird
Man,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Man,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Bird
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Bird
Women,Cat,Bird
Man,Cat,Bird
Women,Dog,Bird
Man,Dog,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Fish
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Man,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Fish
Man,Cat,Fish
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Bird
Man,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Dog,Fish
Man,Dog,Fish
Man,Dog,Fish
Man,Cat,Fish
Women,Dog,Bird
Women,Dog,Fish
Women,Dog,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Fish
Women,Cat,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Dog,Fish
Women,Dog,Bird
Man,Cat,Fish
Women,Cat,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Fish
Man,Dog,Bird
Man,Cat,Fish
Man,Dog,Bird
Women,Cat,Bird
Women,Dog,Fish
Man,Cat,Fish
Man,Cat,Bird
Man,Dog,Fish
Man,Dog,Bird
Women,Cat,Fish
Man,Cat,Fish
Women,Cat,Bird
Women,Dog,Fish
Women,Dog,Bird
Man,Cat,Fish
Women,Cat,Bird
Man,Dog,Fish
Women,Dog,Bird
Man,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Cat,Bird
Women,Dog,Bird
Man,Cat,Bird
Women,Dog,Fish
Man,Cat,Fish
Women,Cat,Fish
Man,Cat,Fish
Women,Dog,Bird
Women,Dog,Bird
Man,Cat,Bird
Man,Dog,Bird
Women,Cat,Fish
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Bird
Women,Dog,Fish
Man,Cat,Fish
Women,Cat,Fish
Women,Cat,Fish
Man,Dog,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Dog,Fish
Women,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Man,Cat,Fish
Man,Dog,Fish
Man,Dog,Fish
Man,Cat,Fish
Man,Cat,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Fish
Man,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Dog,Bird
Man,Dog,Bird
Man,Dog,Fish
Man,Cat,Fish
Man,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Man,Dog,Bird
Man,Cat,Fish
Man,Cat,Bird
Women,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Man,Dog,Bird
Man,Dog,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Man,Dog,Fish
Women,Dog,Fish
Man,Dog,Bird
Man,Cat,Fish
Man,Cat,Fish
Man,Cat,Fish
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Fish
Women,Dog,Fish
Man,Dog,Fish
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Man,Cat,Fish
Man,Cat,Fish
Women,Dog,Bird
Man,Cat,Bird
Women,Cat,Bird
Women,Dog,Fish
Women,Cat,Fish
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Bird
Man,Dog,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Dog,Bird
Women,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Fish
Women,Cat,Fish
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Dog,Fish
Man,Cat,Fish
Women,Dog,Bird
Women,Cat,Bird
Man,Cat,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Fish
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Fish
Man,Dog,Fish
Man,Dog,Bird
Women,Cat,Bird
Man,Cat,Fish
Man,Cat,Fish
Man,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Fish
Women,Dog,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Women,Dog,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Man,Cat,Fish
Women,Dog,Bird
Man,Dog,Fish
Man,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Fish
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Dog,Bird
Women,Cat,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Women,Cat,Fish
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Dog,Bird
Women,Cat,Bird
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Man,Dog,Bird
Man,Dog,Bird
Man,Cat,Fish
Man,Cat,Fish
Man,Dog,Fish
Women,Cat,Bird
Man,Cat,Fish
Man,Dog,Fish
Man,Cat,Bird
Women,Dog,Bird
Women,Dog,Fish
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Man,Dog,Bird
Women,Dog,Fish
Man,Cat,Fish
Women,Cat,Bird
Man,Cat,Fish
Man,Dog,Fish
Women,Dog,Bird
Women,Cat,Bird
Women,Dog,Bird
Man,Dog,Bird
Women,Dog,Fish
Man,Dog,Fish
Man,Dog,Fish
Women,Cat,Bird
Women,Cat,Bird
Man,Cat,Fish
Man,Cat,Fish
Man,Dog,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Cat,Bird
Women,Dog,Bird
Women,Cat,Bird
Women,Cat,Fish
Women,Cat,Bird
Man,Cat,Fish
Women,Dog,Bird
Women,Dog,Bird
Women,Cat,Bird
